driver_id,ticket_number,ticket_date,ticket_type,resolution_status,response_time_hours,will_churn,is_noise_churn,ticket_type_missing,resolution_missing,response_time_missing,is_outlier_driver,ticket_type_encoded,resolution_encoded,ticket_risk_score,ticket_month,ticket_dayofweek,ticket_quarter,is_q4
1,1,2023-05-03,fare_dispute,resolved,6.0,1,1,0,0,0,0,0,0,3,5,2,2,0
1,2,2023-05-11,payment_delay,unresolved,36.1,1,1,0,1,0,0,3,2,1,5,3,2,0
2,1,2023-03-31,demand_issue,partial,23.9,0,0,0,0,0,0,2,1,2,3,4,1,0
2,2,2023-04-01,payment_delay,unresolved,40.7,0,0,0,1,0,0,3,2,1,4,5,2,0
3,1,2023-07-15,payment_delay,unresolved,41.5,0,0,0,1,0,0,3,2,1,7,5,3,0
4,1,2023-07-15,demand_issue,unresolved,43.8,0,0,0,1,0,0,2,2,2,7,5,3,0
4,2,2023-07-31,defective_trip,resolved,3.9,0,0,0,0,0,0,1,0,3,7,0,3,0
5,1,2023-02-01,demand_issue,unresolved,4.0,0,0,0,1,0,0,2,2,2,2,2,1,0
6,1,2023-09-01,fare_dispute,resolved,2.8,0,0,0,0,0,0,0,0,3,9,4,3,0
7,1,2023-09-21,fare_dispute,resolved,6.0,0,0,0,0,0,0,0,0,3,9,3,3,0
7,2,2023-10-01,app_issue,partial,23.1,0,0,0,0,0,0,4,1,1,10,6,4,1
7,3,2023-10-15,demand_issue,resolved,8.1,0,0,0,0,0,0,2,0,2,10,6,4,1
7,4,2023-10-29,app_issue,resolved,12.0,0,0,0,0,0,0,4,0,1,10,6,4,1
7,5,2023-11-08,payment_delay,resolved,2.3,0,0,0,0,0,0,3,0,1,11,2,4,1
8,1,2023-01-20,demand_issue,partial,29.9,1,1,0,0,0,0,2,1,2,1,4,1,0
9,1,2023-10-09,fare_dispute,unresolved,68.0,1,0,0,1,0,0,0,2,3,10,0,4,1
10,1,2023-04-27,demand_issue,resolved,4.1,0,0,0,0,0,0,2,0,2,4,3,2,0
10,2,2023-04-30,unknown,unresolved,41.5,0,0,1,1,0,0,5,2,2,4,6,2,0
10,3,2023-05-14,fare_dispute,unresolved,6.5,0,0,0,1,0,0,0,2,3,5,6,2,0
10,4,2023-05-28,demand_issue,unresolved,37.4,0,0,0,1,0,0,2,2,2,5,6,2,0
11,1,2023-08-14,demand_issue,resolved,6.0,0,0,0,0,0,0,2,0,2,8,0,3,0
12,1,2023-04-19,demand_issue,resolved,12.8,0,0,0,0,0,0,2,0,2,4,2,2,0
13,1,2023-10-16,app_issue,partial,32.0,0,0,0,0,0,0,4,1,1,10,0,4,1
14,1,2023-08-13,payment_delay,resolved,3.4,0,0,0,0,0,0,3,0,1,8,6,3,0
15,1,2023-02-03,demand_issue,resolved,4.2,0,0,0,0,0,0,2,0,2,2,4,1,0
15,2,2023-02-15,app_issue,unresolved,9.7,0,0,0,1,0,0,4,2,1,2,2,1,0
16,1,2023-05-13,fare_dispute,unresolved,2.8,0,0,0,1,0,0,0,2,3,5,5,2,0
16,2,2023-05-27,payment_delay,resolved,9.2,0,0,0,0,0,0,3,0,1,5,5,2,0
17,1,2023-11-04,fare_dispute,resolved,3.5,0,0,0,0,0,1,0,0,3,11,5,4,1
17,2,2023-11-05,defective_trip,unresolved,25.1,0,0,0,1,0,1,1,2,3,11,6,4,1
17,3,2023-11-08,unknown,resolved,1.0,0,0,1,0,0,1,5,0,2,11,2,4,1
17,4,2023-11-11,fare_dispute,resolved,3.1,0,0,0,0,0,1,0,0,3,11,5,4,1
17,5,2023-11-22,defective_trip,partial,21.1,0,0,0,0,0,1,1,1,3,11,2,4,1
17,6,2023-12-01,fare_dispute,resolved,10.9,0,0,0,0,0,1,0,0,3,12,4,4,1
17,7,2023-12-19,fare_dispute,unresolved,1.6,0,0,0,1,0,1,0,2,3,12,1,4,1
17,8,2023-12-25,payment_delay,resolved,12.0,0,0,0,0,0,1,3,0,1,12,0,4,1
17,9,2024-01-10,app_issue,resolved,9.1,0,0,0,0,0,1,4,0,1,1,2,1,0
17,10,2024-01-29,payment_delay,partial,7.6,0,0,0,0,0,1,3,1,1,1,0,1,0
17,11,2024-02-16,fare_dispute,resolved,3.7,0,0,0,0,0,1,0,0,3,2,4,1,0
17,12,2024-03-03,defective_trip,resolved,1.7,0,0,0,0,0,1,1,0,3,3,6,1,0
17,13,2024-03-13,demand_issue,unresolved,50.6,0,0,0,1,0,1,2,2,2,3,2,1,0
17,14,2024-03-19,app_issue,resolved,3.6,0,0,0,0,0,1,4,0,1,3,1,1,0
17,15,2024-04-03,app_issue,partial,42.5,0,0,0,0,0,1,4,1,1,4,2,2,0
17,16,2024-04-08,demand_issue,resolved,3.8,0,0,0,0,0,1,2,0,2,4,0,2,0
17,17,2024-04-23,defective_trip,resolved,4.3,0,0,0,0,0,1,1,0,3,4,1,2,0
17,18,2024-04-30,payment_delay,resolved,3.7,0,0,0,0,0,1,3,0,1,4,1,2,0
17,19,2024-05-05,payment_delay,resolved,7.7,0,0,0,0,0,1,3,0,1,5,6,2,0
17,20,2024-05-20,demand_issue,resolved,3.6,0,0,0,0,0,1,2,0,2,5,0,2,0
17,21,2024-05-23,fare_dispute,resolved,3.9,0,0,0,0,0,1,0,0,3,5,3,2,0
17,22,2024-06-02,defective_trip,partial,23.9,0,0,0,0,0,1,1,1,3,6,6,2,0
17,23,2024-06-12,payment_delay,partial,12.0,0,0,0,0,0,1,3,1,1,6,2,2,0
17,24,2024-06-23,fare_dispute,resolved,5.1,0,0,0,0,0,1,0,0,3,6,6,2,0
17,25,2024-07-03,defective_trip,resolved,6.0,0,0,0,0,0,1,1,0,3,7,2,3,0
17,26,2024-07-18,payment_delay,resolved,12.7,0,0,0,0,0,1,3,0,1,7,3,3,0
17,27,2024-07-19,unknown,partial,27.9,0,0,1,0,0,1,5,1,2,7,4,3,0
17,28,2024-07-22,payment_delay,partial,15.7,0,0,0,0,0,1,3,1,1,7,0,3,0
17,29,2024-07-28,demand_issue,unresolved,49.5,0,0,0,1,0,1,2,2,2,7,6,3,0
17,30,2024-08-06,payment_delay,resolved,7.2,0,0,0,0,0,1,3,0,1,8,1,3,0
17,31,2024-08-16,demand_issue,resolved,10.6,0,0,0,0,0,1,2,0,2,8,4,3,0
17,32,2024-08-23,unknown,resolved,7.0,0,0,1,0,0,1,5,0,2,8,4,3,0
17,33,2024-09-02,payment_delay,partial,23.9,0,0,0,0,0,1,3,1,1,9,0,3,0
17,34,2024-09-04,payment_delay,partial,30.5,0,0,0,0,0,1,3,1,1,9,2,3,0
17,35,2024-09-18,defective_trip,resolved,6.5,0,0,0,0,0,1,1,0,3,9,2,3,0
17,36,2024-09-27,defective_trip,resolved,5.5,0,0,0,0,0,1,1,0,3,9,4,3,0
17,37,2024-10-05,fare_dispute,resolved,6.2,0,0,0,0,0,1,0,0,3,10,5,4,1
17,38,2024-10-15,demand_issue,resolved,1.0,0,0,0,0,0,1,2,0,2,10,1,4,1
17,39,2024-10-20,fare_dispute,partial,33.4,0,0,0,0,0,1,0,1,3,10,6,4,1
18,1,2023-05-02,payment_delay,resolved,10.8,0,0,0,0,0,0,3,0,1,5,1,2,0
19,1,2023-03-15,defective_trip,resolved,4.3,0,0,0,0,0,0,1,0,3,3,2,1,0
19,2,2023-03-26,app_issue,resolved,4.0,0,0,0,0,0,0,4,0,1,3,6,1,0
20,1,2023-10-22,demand_issue,resolved,5.9,0,0,0,0,0,0,2,0,2,10,6,4,1
21,1,2023-09-01,demand_issue,partial,38.4,0,0,0,0,0,0,2,1,2,9,4,3,0
22,1,2023-05-20,defective_trip,resolved,7.5,0,0,0,0,0,0,1,0,3,5,5,2,0
23,1,2023-07-01,defective_trip,resolved,2.8,0,0,0,0,0,0,1,0,3,7,5,3,0
24,1,2023-07-29,demand_issue,unresolved,41.5,1,0,0,1,0,1,2,2,2,7,5,3,0
24,2,2023-08-01,demand_issue,unresolved,50.5,1,0,0,1,0,1,2,2,2,8,1,3,0
24,3,2023-08-10,fare_dispute,unresolved,54.1,1,0,0,1,0,1,0,2,3,8,3,3,0
24,4,2023-08-13,defective_trip,resolved,9.4,1,0,0,0,0,1,1,0,3,8,6,3,0
24,5,2023-08-16,defective_trip,resolved,8.0,1,0,0,0,0,1,1,0,3,8,2,3,0
24,6,2023-08-21,unknown,unresolved,45.5,1,0,1,1,0,1,5,2,2,8,0,3,0
24,7,2023-08-22,payment_delay,partial,20.0,1,0,0,0,0,1,3,1,1,8,1,3,0
24,8,2023-08-25,fare_dispute,unresolved,41.5,1,0,0,1,0,1,0,2,3,8,4,3,0
24,9,2023-08-26,fare_dispute,unresolved,41.5,1,0,0,1,0,1,0,2,3,8,5,3,0
24,10,2023-08-27,defective_trip,unresolved,46.1,1,0,0,1,0,1,1,2,3,8,6,3,0
25,1,2023-02-11,payment_delay,resolved,10.3,0,0,0,0,0,0,3,0,1,2,5,1,0
26,1,2023-08-31,defective_trip,unresolved,53.2,0,0,0,1,0,1,1,2,3,8,3,3,0
26,2,2023-09-04,payment_delay,partial,28.5,0,0,0,0,0,1,3,1,1,9,0,3,0
26,3,2023-09-16,app_issue,unresolved,8.2,0,0,0,1,0,1,4,2,1,9,5,3,0
26,4,2023-09-22,defective_trip,resolved,1.0,0,0,0,0,0,1,1,0,3,9,4,3,0
26,5,2023-09-27,fare_dispute,unresolved,7.1,0,0,0,1,0,1,0,2,3,9,2,3,0
26,6,2023-10-25,app_issue,resolved,2.4,0,0,0,0,0,1,4,0,1,10,2,4,1
26,7,2023-10-28,fare_dispute,resolved,1.0,0,0,0,0,0,1,0,0,3,10,5,4,1
