driver_id,total_tickets,fare_disputes,defective_trips,demand_issues,payment_delays,app_issues,unknown_tickets,high_risk_tickets,unresolved_count,resolved_count,partial_count,unresolved_rate,resolved_rate,repeat_issues,has_repeat_issues,is_outlier_driver,last_ticket_resolved,last_ticket_unresolved,last_ticket_risk,last_response_time,second_last_resolved,second_last_unresolved,second_last_risk,consecutive_unresolved_end,weighted_unresolved,weighted_high_risk,weighted_risk_score,weighted_response_time,journey_length_days,days_since_last_ticket,avg_gap_days,min_gap_days,max_gap_days,gap_std,escalation_rate,tickets_per_week,avg_response_time,max_response_time,response_time_trend,last_ticket_month,last_ticket_quarter,is_q4_churn,q4_ticket_rate,unresolved_high_risk,volume_x_unresolved,response_x_unresolved,will_churn,is_noise_churn
1,2,1,0,0,1,0,0,1,1,1,0,0.5,0.5,0,0,0,0,1,1,36.1,1,0,3,1,1.0,0.7,1.8235294117647056,23.705882352941174,9,676,8.0,8,8,0.0,0,1.5555555555555554,21.05,36.1,30.1,5,2,0,0.0,1,1.0,10.525,1,1
2,2,0,0,1,1,0,0,0,1,0,1,0.5,0.0,0,0,0,0,1,1,40.7,0,0,2,1,1.0,0.0,1.411764705882353,33.78235294117647,2,716,1.0,1,1,0.0,0,2.0,32.3,40.7,16.800000000000004,4,2,0,0.0,0,1.0,16.15,0,0
3,1,0,0,0,1,0,0,0,1,0,0,1.0,0.0,0,0,0,0,1,1,41.5,1,0,0,1,1.0,0.0,1.0,41.5,1,611,0.0,0,0,0.0,0,1.0,41.5,41.5,0.0,7,3,0,0.0,0,1.0,41.5,0,0
4,2,0,1,1,0,0,0,1,1,1,0,0.5,0.5,0,0,0,1,0,3,3.9,0,1,2,0,0.7,1.0,2.588235294117647,20.32941176470588,17,595,16.0,16,16,0.0,0,0.823529411764706,23.849999999999998,43.8,-39.9,7,3,0,0.0,1,1.0,11.924999999999999,0,0
5,1,0,0,1,0,0,0,0,1,0,0,1.0,0.0,0,0,0,0,1,2,4.0,1,0,0,1,1.0,0.0,2.0,4.0,1,775,0.0,0,0,0.0,0,1.0,4.0,4.0,0.0,2,1,0,0.0,0,1.0,4.0,0,0
6,1,1,0,0,0,0,0,1,0,1,0,0.0,1.0,0,0,0,1,0,3,2.8,1,0,0,0,0.0,1.0,3.0,2.8,1,563,0.0,0,0,0.0,0,1.0,2.8,2.8,0.0,9,3,0,0.0,0,0.0,0.0,0,0
7,5,1,0,1,1,2,0,1,0,4,1,0.0,0.8,1,1,0,1,0,1,2.3,1,0,1,0,0.0,0.2,1.3333333333333333,8.474074074074073,49,495,12.0,10,14,2.0,0,0.7142857142857143,10.3,23.1,-3.7,11,4,1,0.8,0,0.0,0.0,0,0
8,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,2,29.9,1,0,0,0,0.0,0.0,2.0,29.9,1,787,0.0,0,0,0.0,0,1.0,29.9,29.9,0.0,1,1,0,0.0,0,0.0,0.0,1,1
9,1,1,0,0,0,0,0,1,1,0,0,1.0,0.0,0,0,0,0,1,3,68.0,1,0,0,1,1.0,1.0,3.0,68.0,1,525,0.0,0,0,0.0,0,1.0,68.0,68.0,0.0,10,4,1,1.0,1,1.0,68.0,1,0
10,4,1,0,2,0,0,1,1,3,1,0,0.75,0.25,1,1,0,0,1,2,37.4,0,1,3,3,2.2,0.7,2.28,25.571999999999996,32,659,10.333333333333334,3,14,5.185449728701348,-11,0.875,22.375,41.5,33.3,5,2,0,0.0,3,3.0,16.78125,0,0
